problem,bitvector_size,num_select_calls,num_iter,overhead,avg_duration
select,100,100000,50,0,0.0075162
select,1000,100000,50,0,0.0125875
select,10000,100000,50,0,0.0169917
select,100000,100000,50,0,0.0220655
select,1000000,100000,50,0,0.0263265
